name,size,cost,discount,original_name,original_price
Enchanted Disney Belle  Diamond Frame Promise Ring in 10K Two-Tone Gold, 1/5 CT. T.W., $589.99, 0, Enchanted Disney Belle 1/5 CT. T.W. Diamond Frame Promise Ring in 10K Two-Tone Gold, Now  $589.99
Diamond Accent Milgrain Band in 10K White Gold, Na, $269.99, 20%, Diamond Accent Milgrain Band in 10K White Gold, $269.99  (20% off)
Diamond Vintage-Style Multi-Row Anniversary Band in 10K White Gold, 1/4 CT. T.W., $699.99, 20%, 1/4 CT. T.W. Diamond Vintage-Style Multi-Row Anniversary Band in 10K White Gold, $699.99  (20% off)
Vera Wang Love Collection  Diamond and Blue Sapphire Band in 14K White Gold, 1/8 CT. T.W., $699.99, 0, Vera Wang Love Collection 1/8 CT. T.W. Diamond and Blue Sapphire Band in 14K White Gold, $699.99
Diamond Accent Vintage-Style Contour Band in 14K White Gold, Na, $269.99, 20%, Diamond Accent Vintage-Style Contour Band in 14K White Gold, $269.99  (20% off)
Enchanted Disney Villains Evil Queen Garnet and  Diamond Ring in Black Sterling Silver and 10K Rose Gold, 1/10 CT. T.W., $146.30, 0, Enchanted Disney Villains Evil Queen Garnet and 1/10 CT. T.W. Diamond Ring in Black Sterling Silver and 10K Rose Gold, Now  $146.30
Diamond and Milgrain Band in 10K White Gold, 1/4 CT. T.W., $399.99, 21%, 1/4 CT. T.W. Diamond and Milgrain Band in 10K White Gold, $399.99  (21% off)
Diamond Band in 10K Rose Gold, 1/6 CT. T.W., $319.99, 20%, 1/6 CT. T.W. Diamond Band in 10K Rose Gold, $319.99  (20% off)
Princess-Cut Diamond Band in 14K White Gold, 1 CT. T.W., $1899.99, 20%, 1 CT. T.W. Princess-Cut Diamond Band in 14K White Gold, $1899.99  (20% off)
Collector's Edition Enchanted Disney Beauty and the Beast 30th Anniversary Diamond Ring in Sterling Silver and 10K Gold, Na, $499.99, 21%, Collector's Edition Enchanted Disney Beauty and the Beast 30th Anniversary Diamond Ring in Sterling Silver and 10K Gold, $499.99  (21% off)
Diamond Prong Band in 14K White Gold, 1/2 CT. T.W., $999.99, 21%, 1/2 CT. T.W. Diamond Prong Band in 14K White Gold, $999.99  (21% off)
Baguette and Round Diamond Cushion Frame Split Shank Ring in 10K White Gold, 1/4 CT. T.W., $429.99, 20%, 1/4 CT. T.W. Baguette and Round Diamond Cushion Frame Split Shank Ring in 10K White Gold, $429.99  (20% off)
Enchanted Disney Rapunzel  Composite Diamond Twist Shank Promise Ring in Sterling Silver and 10K Gold, 1/5 CT. T.W., $449.99, 21%, Enchanted Disney Rapunzel 1/5 CT. T.W. Composite Diamond Twist Shank Promise Ring in Sterling Silver and 10K Gold, $449.99  (21% off)
Composite Diamond Double Cushion Frame Split Shank Ring in 10K White Gold, 1 CT. T.W., $1069.99, 20%, 1 CT. T.W. Composite Diamond Double Cushion Frame Split Shank Ring in 10K White Gold, $1069.99  (20% off)
