name,size,cost,discount,original_name,original_price
Enchanted Disney Elsa  Diamond Snowflake Engagement Ring in 14K White Gold, 5/8 CT. T.W., $1999.99, 0, Enchanted Disney Elsa 5/8 CT. T.W. Diamond Snowflake Engagement Ring in 14K White Gold, $1999.99
Marquise Diamond Bypass Bridal Set in 14K Gold, 1 CT. T.W., $1919.99, 0, 1 CT. T.W. Marquise Diamond Bypass Bridal Set in 14K Gold, Now  $1919.99
Quad Princess-Cut Diamond Engagement Ring in 14K White Gold, 3 CT. T.W., $4299.99, 20%, 3 CT. T.W. Quad Princess-Cut Diamond Engagement Ring in 14K White Gold, $4299.99  (20% off)
Vera Wang Love Collection 1- Certified Oval Diamond Frame Engagement Ring in 14K White Gold (I/SI2), 5/8 CT. T.W., $9999.99, 0, Vera Wang Love Collection 1-5/8 CT. T.W. Certified Oval Diamond Frame Engagement Ring in 14K White Gold (I/SI2), $9999.99
Diamond Engagement Ring in 14K White Gold, 1/3 CT. T.W., $699.99, 20%, 1/3 CT. T.W. Diamond Engagement Ring in 14K White Gold, $699.99  (20% off)
Pear-Shaped Diamond Double Frame Engagement Ring in 14K White Gold, 1/2 CT. T.W., $1169.99, 20%, 1/2 CT. T.W. Pear-Shaped Diamond Double Frame Engagement Ring in 14K White Gold, $1169.99  (20% off)
Quad Princess-Cut Diamond Frame Bridal Set in 14K White Gold, 4 CT. T.W., $6499.99, 20%, 4 CT. T.W. Quad Princess-Cut Diamond Frame Bridal Set in 14K White Gold, $6499.99  (20% off)
Diamond Past Present Future® Bypass Engagement Ring in 10K White Gold, 1/4 CT. T.W., $639.99, 20%, 1/4 CT. T.W. Diamond Past Present Future® Bypass Engagement Ring in 10K White Gold, $639.99  (20% off)
Oval Diamond Engagement Ring in 14K White Gold, 2 CT. T.W., $5999.99, 20%, 2 CT. T.W. Oval Diamond Engagement Ring in 14K White Gold, $5999.99  (20% off)
Emerald-Cut Diamond Double Frame Engagement Ring in 14K White Gold, 1 CT. T.W., $1999.99, 20%, 1 CT. T.W. Emerald-Cut Diamond Double Frame Engagement Ring in 14K White Gold, $1999.99  (20% off)
1- Quad Princess-Cut Diamond Bridal Set in 14K White Gold, 1/2 CT. T.W., $2499.99, 20%, 1-1/2 CT. T.W. Quad Princess-Cut Diamond Bridal Set in 14K White Gold, $2499.99  (20% off)
Princess-Cut Diamond Past Present Future® Engagement Ring in 10K White Gold, 1 CT. T.W., $1199.99, 20%, 1 CT. T.W. Princess-Cut Diamond Past Present Future® Engagement Ring in 10K White Gold, $1199.99  (20% off)
Enchanted Disney Tinker Bell  Princess-Cut Diamond Frame Engagement Ring in 14K Two-Tone Gold, 3/4 CT. T.W., $2199.99, 0, Enchanted Disney Tinker Bell 3/4 CT. T.W. Princess-Cut Diamond Frame Engagement Ring in 14K Two-Tone Gold, $2199.99
Marilyn Monroe™ Collection  Princess-Cut Diamond Frame Vintage-Style Engagement Ring in 14K White Gold, 1 CT. T.W., $2799.99, 0, Marilyn Monroe™ Collection 1 CT. T.W. Princess-Cut Diamond Frame Vintage-Style Engagement Ring in 14K White Gold, $2799.99
2 CT. Certified Diamond Solitaire Engagement Ring in 14K White Gold (I/I2), Na, $12499.99, 0, 2 CT. Certified Diamond Solitaire Engagement Ring in 14K White Gold (I/I2), $12499.99
Vera Wang Love Collection  Princess-Cut Diamond Double Frame Twist Engagement Ring in 14K White Gold, 1 CT. T.W., $2999.99, 0, Vera Wang Love Collection 1 CT. T.W. Princess-Cut Diamond Double Frame Twist Engagement Ring in 14K White Gold, $2999.99
Diamond Past Present Future® Bypass Engagement Ring in 10K Gold, 1/4 CT. T.W., $639.99, 20%, 1/4 CT. T.W. Diamond Past Present Future® Bypass Engagement Ring in 10K Gold, $639.99  (20% off)
Princess-Cut Diamond Engagement Ring in 14K White Gold, 1/3 CT. T.W., $699.99, 20%, 1/3 CT. T.W. Princess-Cut Diamond Engagement Ring in 14K White Gold, $699.99  (20% off)
Pear-Shaped Diamond Frame Bridal Set in 14K White Gold, 3/8 CT. T.W., $999.99, 20%, 3/8 CT. T.W. Pear-Shaped Diamond Frame Bridal Set in 14K White Gold, $999.99  (20% off)
Princess-Cut Quad Diamond Twist Shank Engagement Ring in 14K White Gold, 1/2 CT. T.W., $999.99, 20%, 1/2 CT. T.W. Princess-Cut Quad Diamond Twist Shank Engagement Ring in 14K White Gold, $999.99  (20% off)
Composite Diamond Pear-Shaped Frame Engagement Ring in 14K White Gold, 2 CT. T.W., $3299.99, 20%, 2 CT. T.W. Composite Diamond Pear-Shaped Frame Engagement Ring in 14K White Gold, $3299.99  (20% off)
Marquise Diamond Frame Bridal Set in 14K White Gold, 1 CT. T.W., $1919.99, 0, 1 CT. T.W. Marquise Diamond Frame Bridal Set in 14K White Gold, Now  $1919.99
Quad Princess-Cut and Baguette Diamond Engagement Ring in 14K White Gold, 2 CT. T.W., $2999.99, 20%, 2 CT. T.W. Quad Princess-Cut and Baguette Diamond Engagement Ring in 14K White Gold, $2999.99  (20% off)
Diamond Past Present Future® Cushion-Shaped Frame Twist Shank Engagement Ring in 10K White Gold, 1/4 CT. T.W., $639.99, 20%, 1/4 CT. T.W. Diamond Past Present Future® Cushion-Shaped Frame Twist Shank Engagement Ring in 10K White Gold, $639.99  (20% off)
Enchanted Disney Ariel Oval Tanzanite and  Diamond Double Frame Engagement Ring in 14K Two-Tone Gold, 3/4 CT. T.W., $2499.99, 0, Enchanted Disney Ariel Oval Tanzanite and 3/4 CT. T.W. Diamond Double Frame Engagement Ring in 14K Two-Tone Gold, $2499.99
Princess-Cut Diamond Double Frame Engagement Ring in 14K White Gold, 1/2 CT. T.W., $1169.99, 20%, 1/2 CT. T.W. Princess-Cut Diamond Double Frame Engagement Ring in 14K White Gold, $1169.99  (20% off)
Enchanted Disney Villains Ursula Amethyst and  Enhanced Black Diamond Engagement Ring in 14K White Gold, 1/2 CT. T.W., $1299.99, 0, Enchanted Disney Villains Ursula Amethyst and 1/2 CT. T.W. Enhanced Black Diamond Engagement Ring in 14K White Gold, $1299.99
Composite Pear-Shaped Diamond Frame Engagement Ring in 10K White Gold, 1/2 CT. T.W., $799.99, 20%, 1/2 CT. T.W. Composite Pear-Shaped Diamond Frame Engagement Ring in 10K White Gold, $799.99  (20% off)
Diamond Frame Tri-Sides Split Shank Bridal Set in 14K White Gold, 1 CT. T.W., $2129.99, 20%, 1 CT. T.W. Diamond Frame Tri-Sides Split Shank Bridal Set in 14K White Gold, $2129.99  (20% off)
Enchanted Disney Villains Maleficent 1- Enhanced Black and White Diamond Engagement Ring in 14K White Gold, 1/2 CT. T.W., $1699.99, 0, Enchanted Disney Villains Maleficent 1-1/2 CT. T.W. Enhanced Black and White Diamond Engagement Ring in 14K White Gold, $1699.99
Vera Wang Love Collection  Oval Diamond Double Frame Engagement Ring in 14K White Gold, 1 CT. T.W., $3999.99, 0, Vera Wang Love Collection 1 CT. T.W. Oval Diamond Double Frame Engagement Ring in 14K White Gold, $3999.99
Princess-Cut Quad Diamond Double Cushion-Shaped Frame Twist Shank Bridal Set in 14K White Gold, 1 CT. T.W., $1999.99, 20%, 1 CT. T.W. Princess-Cut Quad Diamond Double Cushion-Shaped Frame Twist Shank Bridal Set in 14K White Gold, $1999.99  (20% off)
Quad Princess-Cut Diamond Engagement Ring in 10K White Gold, 1 CT. T.W., $1199.99, 20%, 1 CT. T.W. Quad Princess-Cut Diamond Engagement Ring in 10K White Gold, $1199.99  (20% off)
Princess-Cut Diamond Tilted Bypass Bridal Set in 10K Gold, 1/4 CT. T.W., $699.99, 20%, 1/4 CT. T.W. Princess-Cut Diamond Tilted Bypass Bridal Set in 10K Gold, $699.99  (20% off)
Enchanted Disney Ariel  Pear-Shaped Diamond Double Frame Shell Engagement Ring in 14K Two-Tone Gold, 1 CT. T.W., $2999.99, 0, Enchanted Disney Ariel 1 CT. T.W. Pear-Shaped Diamond Double Frame Shell Engagement Ring in 14K Two-Tone Gold, $2999.99
Princess-Cut Diamond Past Present Future® Engagement Ring in 10K White Gold, 1 CT. T.W., $2029.99, 20%, 1 CT. T.W. Princess-Cut Diamond Past Present Future® Engagement Ring in 10K White Gold, $2029.99  (20% off)
Diamond Frame Twist Bridal Set in 10K White Gold, 1/2 CT. T.W., $1199.99, 20%, 1/2 CT. T.W. Diamond Frame Twist Bridal Set in 10K White Gold, $1199.99  (20% off)
Princess-Cut Diamond Cushion Frame Vintage-Style Engagement Ring in 14K White Gold (I/I2), 5/8 CT. T.W., $1499.99, 20%, 5/8 CT. T.W. Princess-Cut Diamond Cushion Frame Vintage-Style Engagement Ring in 14K White Gold (I/I2), $1499.99  (20% off)
Collector's Edition Enchanted Disney Beauty and the Beast 30th Anniversary Diamond Engagement Ring in 14K Two-Tone Gold, Na, $3499.99, 0, Collector's Edition Enchanted Disney Beauty and the Beast 30th Anniversary Diamond Engagement Ring in 14K Two-Tone Gold, $3499.99
Love's Destiny by Zales 1- Certified Pear-Shaped Diamond Frame Engagement Ring in 14K White Gold (I/SI2), 3/4 CT. T.W., $4999.99, 0, Love's Destiny by Zales 1-3/4 CT. T.W. Certified Pear-Shaped Diamond Frame Engagement Ring in 14K White Gold (I/SI2), $4999.99
Diamond Past Present Future® Engagement Ring in 10K Gold, 1 CT. T.W., $2029.99, 20%, 1 CT. T.W. Diamond Past Present Future® Engagement Ring in 10K Gold, $2029.99  (20% off)
Diamond Flower Bridal Set in 10K Gold, 1/2 CT. T.W., $909.99, 21%, 1/2 CT. T.W. Diamond Flower Bridal Set in 10K Gold, $909.99  (21% off)
Diamond Triple Cushion-Shaped Frame Vintage-Style Engagement Ring in 10K White Gold, 1 CT. T.W., $1699.99, 20%, 1 CT. T.W. Diamond Triple Cushion-Shaped Frame Vintage-Style Engagement Ring in 10K White Gold, $1699.99  (20% off)
Composite Diamond Frame Engagement Ring in 10K White Gold, 1/2 CT. T.W., $799.99, 20%, 1/2 CT. T.W. Composite Diamond Frame Engagement Ring in 10K White Gold, $799.99  (20% off)
Vera Wang Love Collection  Diamond Double Oval Frame Engagement Ring in 14K White Gold, 3/4 CT. T.W., $2499.99, 0, Vera Wang Love Collection 3/4 CT. T.W. Diamond Double Oval Frame Engagement Ring in 14K White Gold, $2499.99
Quad Princess-Cut Diamond Bridal Set in 10K White Gold, 1/3 CT. T.W., $899.99, 0, 1/3 CT. T.W. Quad Princess-Cut Diamond Bridal Set in 10K White Gold, Now  $899.99
Diamond Engagement Ring in 14K White Gold, 1 CT. T.W., $2349.99, 20%, 1 CT. T.W. Diamond Engagement Ring in 14K White Gold, $2349.99  (20% off)
Princess-Cut Quad Diamond Twist Shank Engagement Ring in 14K White Gold, 1 CT. T.W., $1999.99, 20%, 1 CT. T.W. Princess-Cut Quad Diamond Twist Shank Engagement Ring in 14K White Gold, $1999.99  (20% off)
Composite Cushion-Shaped Diamond Frame Vintage-Style Engagement Ring in 10K White Gold, 2 CT. T.W., $2399.99, 20%, 2 CT. T.W. Composite Cushion-Shaped Diamond Frame Vintage-Style Engagement Ring in 10K White Gold, $2399.99  (20% off)
Quad Princess-Cut Diamond Bridal Set in 14K White Gold, 2 CT. T.W., $3949.99, 0, 2 CT. T.W. Quad Princess-Cut Diamond Bridal Set in 14K White Gold, Now  $3949.99
Enchanted Disney Villains Evil Queen  Oval Diamond Engagement Ring in 14K White Gold with Black Rhodium, 1 CT. T.W., $3499.99, 0, Enchanted Disney Villains Evil Queen 1 CT. T.W. Oval Diamond Engagement Ring in 14K White Gold with Black Rhodium, $3499.99
Diamond Double Cushion Frame Multi-Row Vintage-Style Engagement Ring in 14K White Gold, 1 CT. T.W., $2299.99, 20%, 1 CT. T.W. Diamond Double Cushion Frame Multi-Row Vintage-Style Engagement Ring in 14K White Gold, $2299.99  (20% off)
Diamond Double Oval Frame Vintage-Style Split Shank Engagement Ring in 10K White Gold, 1 CT. T.W., $1699.99, 20%, 1 CT. T.W. Diamond Double Oval Frame Vintage-Style Split Shank Engagement Ring in 10K White Gold, $1699.99  (20% off)
Diamond Three Stone Flower Frame Ring in 10K Gold, 1/2 CT. T.W., $569.99, 21%, 1/2 CT. T.W. Diamond Three Stone Flower Frame Ring in 10K Gold, $569.99  (21% off)
Princess-Cut Diamond Frame Twist Bridal Set in 14K White Gold, 1 CT. T.W., $2129.99, 20%, 1 CT. T.W. Princess-Cut Diamond Frame Twist Bridal Set in 14K White Gold, $2129.99  (20% off)
Vera Wang Love Collection 1- Pear-Shaped Diamond Double Frame Twist Engagement Ring in 14K White Gold, 5/8 CT. T.W., $6499.99, 0, Vera Wang Love Collection 1-5/8 CT. T.W. Pear-Shaped Diamond Double Frame Twist Engagement Ring in 14K White Gold, $6499.99
Blue Sapphire and  Diamond Ring in 10K White Gold, 6.0mm, $389.99, 22%, 6.0mm Blue Sapphire and 1/10 CT. T.W. Diamond Ring in 10K White Gold, $389.99  (22% off)
2 CT. Diamond Solitaire Engagement Ring in 14K White Gold (K/I3), Na, $6999.99, 0, 2 CT. Diamond Solitaire Engagement Ring in 14K White Gold (K/I3), $6999.99
1- Emerald-Cut Baguette-Cut and Round Diamond Split Shank Engagement Ring in 14K White Gold, 1/5 CT. T.W., $4439.99, 20%, 1-1/5 CT. T.W. Emerald-Cut Baguette-Cut and Round Diamond Split Shank Engagement Ring in 14K White Gold, $4439.99  (20% off)
Diamond Engagement Ring in 14K White Gold, 2 CT. T.W., $5999.99, 20%, 2 CT. T.W. Diamond Engagement Ring in 14K White Gold, $5999.99  (20% off)
Princess-Cut Diamond Bridal Set in 10K White Gold, 1/4 CT. T.W., $699.99, 0, 1/4 CT. T.W. Princess-Cut Diamond Bridal Set in 10K White Gold, Now  $699.99
Vera Wang Love Collection  Marquise Diamond Frame Engagement Ring in 14K White Gold, 1 CT. T.W., $3699.99, 0, Vera Wang Love Collection 1 CT. T.W. Marquise Diamond Frame Engagement Ring in 14K White Gold, $3699.99
Enchanted Disney Belle 1- Oval Diamond Double Frame Engagement Ring in 14K Two-Tone Gold, 1/4 CT. T.W., $3799.99, 0, Enchanted Disney Belle 1-1/4 CT. T.W. Oval Diamond Double Frame Engagement Ring in 14K Two-Tone Gold, $3799.99
1 CT. Certified Diamond Solitaire Engagement Ring in 14K White Gold (I/I2), Na, $3999.99, 0, 1 CT. Certified Diamond Solitaire Engagement Ring in 14K White Gold (I/I2), $3999.99
Princess-Cut Diamond Double Frame Engagement Ring in 14K White Gold, 1 CT. T.W., $1999.99, 20%, 1 CT. T.W. Princess-Cut Diamond Double Frame Engagement Ring in 14K White Gold, $1999.99  (20% off)
Enchanted Disney Anna  Princess-Cut Diamond Engagement Ring in 14K Gold, 3/4 CT. T.W., $2183.30, 22%, Enchanted Disney Anna 3/4 CT. T.W. Princess-Cut Diamond Engagement Ring in 14K Gold, $2183.30  (22% off)
Princess-Cut Diamond Twist Shank Engagement Ring in 14K White Gold (I/I2), 1/2 CT. T.W., $1399.99, 20%, 1/2 CT. T.W. Princess-Cut Diamond Twist Shank Engagement Ring in 14K White Gold (I/I2), $1399.99  (20% off)
Oval Diamond Double Frame Engagement Ring in 14K White Gold, 1 CT. T.W., $1999.99, 20%, 1 CT. T.W. Oval Diamond Double Frame Engagement Ring in 14K White Gold, $1999.99  (20% off)
1 CT. Certified Heart-Shaped Diamond Solitaire Ring in 14K White Gold (I/I2), Na, $3999.99, 0, 1 CT. Certified Heart-Shaped Diamond Solitaire Ring in 14K White Gold (I/I2), $3999.99
Diamond Frame Bridal Set in 14K White Gold, 1 CT. T.W., $3089.99, 0, 1 CT. T.W. Diamond Frame Bridal Set in 14K White Gold, Now  $3089.99
Vera Wang Love Collection 1- Diamond Solitaire Collar Engagement Ring in 14K White Gold, 1/10 CT. T.W., $6999.99, 0, Vera Wang Love Collection 1-1/10 CT. T.W. Diamond Solitaire Collar Engagement Ring in 14K White Gold, $6999.99
Composite Diamond Frame Collared Three Piece Bridal Set in 14K White Gold, 6 CT. T.W., $9169.99, 20%, 6 CT. T.W. Composite Diamond Frame Collared Three Piece Bridal Set in 14K White Gold, $9169.99  (20% off)
Vera Wang Love Collection  Pear-Shaped Diamond Frame Engagement Ring in 14K White Gold, 1 CT. T.W., $3999.99, 0, Vera Wang Love Collection 1 CT. T.W. Pear-Shaped Diamond Frame Engagement Ring in 14K White Gold, $3999.99
Celebration Ideal  Diamond Double Frame Bridal Set in 14K White Gold (I/I1), 1 CT. T.W., $3559.00, 0, Celebration Ideal 1 CT. T.W. Diamond Double Frame Bridal Set in 14K White Gold (I/I1), $3559.00
Vera Wang Love Collection  Diamond and Blue Sapphire Engagement Ring in 14K White Gold, 1 CT. T.W., $3999.99, 0, Vera Wang Love Collection 1 CT. T.W. Diamond and Blue Sapphire Engagement Ring in 14K White Gold, $3999.99
Vera Wang Love Collection 2- Certified Cushion-Cut Diamond Frame Engagement Ring in 14K White Gold (I/SI2), 3/4 CT. T.W., $25999.99, 0, Vera Wang Love Collection 2-3/4 CT. T.W. Certified Cushion-Cut Diamond Frame Engagement Ring in 14K White Gold (I/SI2), $25999.99
2- Diamond Double Frame Bridal Set in 14K White Gold, 1/5 CT. T.W., $8529.99, 20%, 2-1/5 CT. T.W. Diamond Double Frame Bridal Set in 14K White Gold, $8529.99  (20% off)
Princess-Cut Composite Diamond Multi-Row Split Shank Engagement Ring in 10K White Gold, 4 CT. T.W., $4999.99, 20%, 4 CT. T.W. Princess-Cut Composite Diamond Multi-Row Split Shank Engagement Ring in 10K White Gold, $4999.99  (20% off)
Vera Wang Love Collection  Princess-Cut Diamond Three Stone Vintage-Style Bridal Set in 14K White Gold, 2 CT. T.W., $7499.99, 0, Vera Wang Love Collection 2 CT. T.W. Princess-Cut Diamond Three Stone Vintage-Style Bridal Set in 14K White Gold, $7499.99
Quad Princess-Cut Diamond Frame Ring in 14K Gold, 3 CT. T.W., $4299.99, 20%, 3 CT. T.W. Quad Princess-Cut Diamond Frame Ring in 14K Gold, $4299.99  (20% off)
Emerald-Cut Diamond Double Frame Engagement Ring in 14K White Gold, 1/2 CT. T.W., $1169.99, 20%, 1/2 CT. T.W. Emerald-Cut Diamond Double Frame Engagement Ring in 14K White Gold, $1169.99  (20% off)
Emerald-Cut Diamond Frame Bridal Set in 14K White Gold, 3/8 CT. T.W., $999.99, 20%, 3/8 CT. T.W. Emerald-Cut Diamond Frame Bridal Set in 14K White Gold, $999.99  (20% off)
Zales Private Collection  Certified Colorless Pear-Shaped Diamond Engagement Ring in 14K Two-Tone Gold, 1 CT. T.W., $3699.99, 0, Zales Private Collection 1 CT. T.W. Certified Colorless Pear-Shaped Diamond Engagement Ring in 14K Two-Tone Gold, $3699.99
Composite Diamond Pear-Shaped Frame Bridal Set in 14K White Gold, 1 CT. T.W., $1999.99, 20%, 1 CT. T.W. Composite Diamond Pear-Shaped Frame Bridal Set in 14K White Gold, $1999.99  (20% off)
Composite Cushion-Shaped Diamond Double Frame Vintage-Style Engagement Ring in 10K White Gold, 1 CT. T.W., $1499.99, 20%, 1 CT. T.W. Composite Cushion-Shaped Diamond Double Frame Vintage-Style Engagement Ring in 10K White Gold, $1499.99  (20% off)
Zales Private Collection  Certified Colorless Princess-Cut Diamond Engagement Ring in 14K White Gold(F/I1), 1 CT. T.W., $3199.99, 0, Zales Private Collection 1 CT. T.W. Certified Colorless Princess-Cut Diamond Engagement Ring in 14K White Gold(F/I1), $3199.99
Enchanted Disney Cinderella London Blue Topaz and  Diamond Double Frame Engagement Ring in 14K White Gold, 3/4 CT. T.W., $2499.99, 0, Enchanted Disney Cinderella London Blue Topaz and 3/4 CT. T.W. Diamond Double Frame Engagement Ring in 14K White Gold, $2499.99
Diamond Twist Shank Bridal Set in 10K White Gold, 1/3 CT. T.W., $899.99, 20%, 1/3 CT. T.W. Diamond Twist Shank Bridal Set in 10K White Gold, $899.99  (20% off)
Diamond Cluster Twist Shank Bridal Set in 10K White Gold, 1/2 CT. T.W., $1279.99, 20%, 1/2 CT. T.W. Diamond Cluster Twist Shank Bridal Set in 10K White Gold, $1279.99  (20% off)
Diamond Past Present Future® Bridal Set in 14K White Gold, 3 CT. T.W., $7499.99, 0, 3 CT. T.W. Diamond Past Present Future® Bridal Set in 14K White Gold, Now  $7499.99
Vera Wang Love Collection  Certified Oval Diamond Frame Engagement Ring in 14K White Gold (I/SI2), 1 CT. T.W., $3999.99, 0, Vera Wang Love Collection 1 CT. T.W. Certified Oval Diamond Frame Engagement Ring in 14K White Gold (I/SI2), $3999.99
Pear-Shaped Diamond Frame Twist Split Shank Bridal Set in 14K Rose Gold, 1 CT. T.W., $2399.99, 20%, 1 CT. T.W. Pear-Shaped Diamond Frame Twist Split Shank Bridal Set in 14K Rose Gold, $2399.99  (20% off)
1- Diamond Double Frame Bridal Set in 14K White Gold, 1/2 CT. T.W., $3729.99, 20%, 1-1/2 CT. T.W. Diamond Double Frame Bridal Set in 14K White Gold, $3729.99  (20% off)
Diamond Layered Teardrop Frame Engagement Ring in 10K White Gold, 4 CT. T.W., $4999.99, 20%, 4 CT. T.W. Diamond Layered Teardrop Frame Engagement Ring in 10K White Gold, $4999.99  (20% off)
Vera Wang Love Collection 2- Certified Oval Diamond Frame Twist Engagement Ring in 14K White Gold (I/SI2), 1/2 CT. T.W., $23111.20, 11%, Vera Wang Love Collection 2-1/2 CT. T.W. Certified Oval Diamond Frame Twist Engagement Ring in 14K White Gold (I/SI2), $23111.20  (11% off)
Princess-Cut Diamond Frame Twist Engagement Ring in 14K White Gold, 1/2 CT. T.W., $1299.99, 20%, 1/2 CT. T.W. Princess-Cut Diamond Frame Twist Engagement Ring in 14K White Gold, $1299.99  (20% off)
1-1/2 CT. Princess-Cut Solitaire Engagement Ring in 14K White Gold (K/I3), Na, $4999.99, 0, 1-1/2 CT. Princess-Cut Solitaire Engagement Ring in 14K White Gold (K/I3), $4999.99
Oval Diamond Frame Collar Bridal Set in 14K White Gold (I/I2), 1 CT. T.W., $2129.99, 20%, 1 CT. T.W. Oval Diamond Frame Collar Bridal Set in 14K White Gold (I/I2), $2129.99  (20% off)
Vera Wang Love Collection  Diamond Frame Bridal Set in 14K White Gold, 1 CT. T.W., $3299.99, 0, Vera Wang Love Collection 1 CT. T.W. Diamond Frame Bridal Set in 14K White Gold, $3299.99
Vera Wang Love Collection  Princess-Cut Diamond Double Frame Engagement Ring in 14K White Gold, 1 CT. T.W., $2671.20, 0, Vera Wang Love Collection 1 CT. T.W. Princess-Cut Diamond Double Frame Engagement Ring in 14K White Gold, Now  $2671.20
2- Diamond Engagement Ring in 14K White Gold, 1/2 CT. T.W., $9999.99, 20%, 2-1/2 CT. T.W. Diamond Engagement Ring in 14K White Gold, $9999.99  (20% off)
1- Quad Princess-Cut Diamond Frame Bridal Set in 14K Gold - Size 7, 1/2 CT. T.W., $2499.99, 20%, 1-1/2 CT. T.W. Quad Princess-Cut Diamond Frame Bridal Set in 14K Gold - Size 7, $2499.99  (20% off)
Enchanted Disney Villains Cruella De Vil 1- Enhanced Black Diamond Crown Bridal Set in 14K White Gold, 1/5 CT. T.W., $1999.99, 0, Enchanted Disney Villains Cruella De Vil 1-1/5 CT. T.W. Enhanced Black Diamond Crown Bridal Set in 14K White Gold, $1999.99
Round and Princess-Cut Diamond Flower Bridal Set in 10K White Gold, 1 CT. T.W., $1399.99, 20%, 1 CT. T.W. Round and Princess-Cut Diamond Flower Bridal Set in 10K White Gold, $1399.99  (20% off)
Vera Wang Love Collection  Oval Diamond Double Frame Engagement Ring in 14K White Gold, 3/4 CT. T.W., $2199.99, 0, Vera Wang Love Collection 3/4 CT. T.W. Oval Diamond Double Frame Engagement Ring in 14K White Gold, $2199.99
Pear-Shaped Diamond Double Frame Vintage-Style Engagement Ring in 14K White Gold, 1/2 CT. T.W., $1299.99, 20%, 1/2 CT. T.W. Pear-Shaped Diamond Double Frame Vintage-Style Engagement Ring in 14K White Gold, $1299.99  (20% off)
Zales Private Collection  Certified Colorless Diamond Three Stone Engagement Ring in 14K White Gold (F/I1), 1 CT. T.W., $2799.99, 0, Zales Private Collection 1 CT. T.W. Certified Colorless Diamond Three Stone Engagement Ring in 14K White Gold (F/I1), $2799.99
Zales Private Collection  Certified Colorless Diamond Frame Engagement Ring in 14K White Gold (F/I1), 1 CT. T.W., $3199.99, 0, Zales Private Collection 1 CT. T.W. Certified Colorless Diamond Frame Engagement Ring in 14K White Gold (F/I1), $3199.99
Enchanted Disney Merida  Pear-Shaped Diamond Frame Engagement Ring in 14K Two-Tone Gold, 1/2 CT. T.W., $1499.99, 0, Enchanted Disney Merida 1/2 CT. T.W. Pear-Shaped Diamond Frame Engagement Ring in 14K Two-Tone Gold, $1499.99
1- Emerald-Cut Diamond Past Present Future® Double Frame Vintage-Style Engagement Ring in 14K White Gold, 1/2 CT. T.W., $3499.99, 20%, 1-1/2 CT. T.W. Emerald-Cut Diamond Past Present Future® Double Frame Vintage-Style Engagement Ring in 14K White Gold, $3499.99  (20% off)
Vera Wang Love Collection  Cushion-Cut Diamond Collar Engagement Ring in 14K White Gold, 3/4 CT. T.W., $2699.99, 0, Vera Wang Love Collection 3/4 CT. T.W. Cushion-Cut Diamond Collar Engagement Ring in 14K White Gold, $2699.99
Quad Princess-Cut Diamond Double Frame Bridal Set in 14K White Gold, 2 CT. T.W., $3499.99, 20%, 2 CT. T.W. Quad Princess-Cut Diamond Double Frame Bridal Set in 14K White Gold, $3499.99  (20% off)
1- Certified Pear-Shaped Diamond Frame Bridal Set in 14K White Gold (I/SI2), 1/5 CT. T.W., $5299.99, 20%, 1-1/5 CT. T.W. Certified Pear-Shaped Diamond Frame Bridal Set in 14K White Gold (I/SI2), $5299.99  (20% off)
Certified Emerald-Cut Diamond Frame Past Present Future® Engagement Ring in 14K White Gold (I/SI2), 1 CT. T.W., $2499.99, 20%, 1 CT. T.W. Certified Emerald-Cut Diamond Frame Past Present Future® Engagement Ring in 14K White Gold (I/SI2), $2499.99  (20% off)
Certified Emerald-Cut Diamond Past Present Future® Frame Engagement Ring in 14K White Gold (I/I1), 1 CT. T.W., $2999.99, 20%, 1 CT. T.W. Certified Emerald-Cut Diamond Past Present Future® Frame Engagement Ring in 14K White Gold (I/I1), $2999.99  (20% off)
Oval Diamond Double Frame Engagement Ring in 14K White Gold, 1/2 CT. T.W., $1169.99, 20%, 1/2 CT. T.W. Oval Diamond Double Frame Engagement Ring in 14K White Gold, $1169.99  (20% off)
Pear-Shaped Diamond Frame Tri-Sides Vintage-Style Engagement Ring in 14K Rose Gold, 1/2 CT. T.W., $1399.99, 20%, 1/2 CT. T.W. Pear-Shaped Diamond Frame Tri-Sides Vintage-Style Engagement Ring in 14K Rose Gold, $1399.99  (20% off)
1- Certified Oval Diamond Double Frame Bridal Set in 14K White Gold (I/SI2), 1/2 CT. T.W., $3699.99, 20%, 1-1/2 CT. T.W. Certified Oval Diamond Double Frame Bridal Set in 14K White Gold (I/SI2), $3699.99  (20% off)
Diamond Cluster Engagement Ring in 14K Gold, 4 CT. T.W., $6499.99, 20%, 4 CT. T.W. Diamond Cluster Engagement Ring in 14K Gold, $6499.99  (20% off)
Composite Oval Diamond Frame Bridal Set in 14K White Gold, 1 CT. T.W., $1999.99, 20%, 1 CT. T.W. Composite Oval Diamond Frame Bridal Set in 14K White Gold, $1999.99  (20% off)
Vera Wang Love Collection  Diamond and Blue Sapphire Vintage-Style Ring in 14K White Gold, 3/4 CT. T.W., $2699.99, 0, Vera Wang Love Collection 3/4 CT. T.W. Diamond and Blue Sapphire Vintage-Style Ring in 14K White Gold, $2699.99
Composite Princess-Cut Diamond Frame Multi-Row Engagement Ring in 14K White Gold, 8 CT. T.W., $12999.99, 20%, 8 CT. T.W. Composite Princess-Cut Diamond Frame Multi-Row Engagement Ring in 14K White Gold, $12999.99  (20% off)
